buddy list,llista d'amics,f
buffer,memòria intermèdia,f
bug,error, error de programació,m
build,muntatge,m
built-in,integrat -ada,adj
bullet,pic,m
bulleted list,llista de pics,f
bulletin board, bulletin board system,BBS,m
burn, to,enregistrar,v tr
burner,enregistrador,m
bus,bus,m
busy,ocupat -ada,adj
button,botó,m
byte,byte (sbl. B),m
cache busting,bloqueig de memòria cau,m
cache, cache memory,memòria cau,f
call, to,cridar,v tr
callback,crida de retorn, repetició de trucada,f
cancel, to,cancel·lar, anul·lar,v tr
cancelled,cancel·lat -ada, anul·lat -ada,adj
canvas,llenç,m
capability,capacitat, aptitud,f
capital letter,majúscula,f
capitalized words,paraules amb  majúscula inicial,f pl
CapsLock, caps lock key,tecla de fixació de majúscules,f
caption,títol, llegenda (f),m
card,targeta,f
cascade,en cascada,loc
case sensitive,(que) distingeix entre majúscules i minúscules,loc
catch, to,capturar,v tr
catcher,capturador,m
category,categoria,f
cause,motiu,m
cause, to,provocar, causar,v tr
cell,cel·la,f
cellular telephone,(telèfon) mòbil,m
center, to,centrar,v tr
certificate,certificat,m
certificate authority,entitat certificadora,f
certificate revocation list,llista de revocació de certificats,f
cipher,xifra,f
cipher, to,xifrar, encriptar,v tr
circuit,circuit,m
class,classe,f
classification,classificació,f
clear, to,buidar, esborrar, netejar, suprimir,v tr
click,clic,m
click, to,fer clic, clicar,v intr
clickthrough, click-through,clic d'entrada,m
client,client,m
client-server architecture,arquitectura client-servidor,f
clipart,fitxer d'imatges,m
clipboard,porta-retalls,m
close, to,tancar,v tr
cluster,grup de sectors ||  centre de servidors,m
cluster, to,clusteritzar,v tr
clustering,clusterització,f
clusterization,clusterització,f
clusterize, to,clusteritzar,v tr
code,codi,m
code, to,codificar,v tr
codec,còdec,m
coder,codificador,m
coder-decoder,còdec,m
coding,codificació,f
color depth,profunditat de color,f
color scheme,combinació de colors,f
collapse, to,reduir ,v tr
collate, to,compaginar,v tr
collect, to,recollir, aplegar,v tr
collision,col·lisió,f
combined,combinat -ada,adj
combo box,quadre combinat,m
command,ordre,f
command key,tecla d'ordre (Macintosh),f
command line,línia d'ordres,f
comment,comentari,m
commit, to,validar || publicar,v tr
communicate, to,comunicar,v tr
communication,comunicació,f
compact, to,compactar,v tr
compaction,compactació,f
compilation,compilació,f
compiler,compilador,m
compiling program,compilador,m
completed,acabat -ada,adj
component,component, element,m
component bar,barra d'elements,f
compose, to,redactar, compondre,v tr
composition,redacció ,f
compress, to,comprimir,v tr
compression,compressió,f
compression algorithm,algorisme de compressió,m
compression ratio,ràtio de compressió,f
compression software,compressor,m
compressor,compressor,m
compressor-decompressor,còdec,m
compute, to,calcular,v tr
computer,ordinador,m
computer architecture,arquitectura d'ordinador,f
computer crime,delicte informàtic,m
computer network,xarxa informàtica,f
computer science,informàtica,f
computer security,seguretat informàtica,f
computer system,sistema informàtic,m
computer system administrator,administrador -a o gestor -a de sistemes informàtics,m i f
computer-aided,assistit -ida per ordinador,loc
computer-assisted,assistit -ida per ordinador,loc
computer-assisted animation,animació assistida per ordinador,f
computing system,sistema informàtic,m
conductivity,conductivitat,f
conductor,conductor,m
config, configuration,configuració,f
configure, to,configurar,v tr
confirm delivery,confirmació de recepció,f
connect, to,connectar ,v tr
connection,connexió,f
connection accelerator,accelerador de connexió,m
connectivity,connectivitat,f
connector,connector,m
console,consola,f
constraint,restricció,f
contact sheet,full de contactes,m
contact, to,contactar,v intr
contain, to,contenir,v tr
content,contingut,m
content syndication,sindicació de continguts,f
context sensitive help,ajuda contextual,f
continent,continent,m
continue, to,continuar, seguir,v intr
contributor,col·laborador -a,m i f
control panel,tauler de control,m
controller,controlador,m
conversion,conversió,f
convert, to,convertir,v tr
converter,convertidor,m
cookie,galeta,f
copy,còpia,f
copy, to,copiar,v tr
copyright,copyright,m
core,ànima,f
coroutine,corutina,f
correct,correcte -a,adj
corrupted,malmès -a, corrupte -a,adj
corruption,corrupció,f
count, to,comptar,v tr
counter,comptador,m
country,país,m
coupon,cupó (financer),m
coverage,cobertura,f
cracker,pirata,m i f
crash,fallada (f) || accident, trencament,m
crash, to,fallar,v intr
create, to,crear,v tr
creation,creació,f
credentials,credencials,f pl 
credit,crèdit,m
credit card,targeta de crèdit,f
credits,crèdits,m pl
crop, to,escapçar,v tr
cross-reference,referència encreuada ,f
crossposting,enviament múltiple,m
cryptographic,criptogràfic -a,adj
cryptography,criptografia,f
Ctrl, control key,tecla de control,f
currency,moneda,f
current,actual,adj
cursor,cursor,m
custom,personalitzat -ada,adj
customer service,servei d'atenció al client,m
customization,personalització,f
customize, to,personalitzar,v tr
customized,personalitzat -ada,adj
customized catalog,catàleg electrònic,m
cut, to,retallar,v tr
cybercafé,cibercafè,m
cybernetics,cibernètica,f
cyberspace,ciberespai,m
cylinder,cilindre,m
chain,cadena,f
change, to,canviar,v tr
channel,canal,m
character,caràcter,m
character key,tecla de caràcter,f
character set,joc de caràcters,m
charset,joc de caràcters,m
chart,diagrama,m
chat,xat,m
chat, to,fer un xat, fer xats,v intr
cheat, to,fer trampes,v intr
check box,casella de selecció,f
check, to,comprovar, revisar (ortografia), verificar || activar (una casella de selecció),v tr
checkbox,casella de selecció,f
checker,verificador -a,m i f
checksum,suma de verificació,f
chip,xip,m
chipset,joc de xips,m
choice,opció,f
choose, to,triar,v tr
chunk,fragment,m
daemon,dimoni,m
damaged,malmès -esa,adj
dangerous,perillós -osa,adj
dash,traç,m
dashboard,consola,f
data,dades, informació (f),f pl
data bank,banc de dades,m
data management,gestió de dades,f
data processing,processament de dades,m
data source,font de dades,f
data stream,flux de dades,m
database,base de dades,f
database administrator,administrador -a o gestor -a de bases de dades,m i f
database manager,gestor -a o administrador -a de bases de dades,m i f
date,data,f
day,dia,m
days ago,fa … dies,loc
deadlock,interbloqueig,m
debug,depuració,f
debug, to,depurar,v tr
debugger,depurador,m
declaration,declaració,f
decode, to,descodificar,v tr
decoder,descodificador,m
decoding,descodificació,f
decompilation,descompilació,f
decompile, to,descompilar,v tr
decompiler,descompilador,m
decompression,descompressió,f
decrease, to,reduir ,v tr
decrypt, to,desencriptar,v tr
decryption,desencriptatge,m
default,per defecte, predeterminat -ada (adj),loc
default,valor per defecte,m
definition,definició,f
deinterlace, to,desentrellaçar,v tr
Del, delete key,tecla de supressió,f
delay,retard,m
delayed,retardat -ada,adj
delete, to,suprimir, eliminar,v tr
delimiter,delimitador,m
deliver, to,lliurar,v tr
delivery,lliurament ,m
denied,denegat -ada,adj
deny, to,denegar,v tr 
dependency ,dependència,f
deploy, to,desplegar,v tr
deployment,desplegament,m
deprecated,desfasat -ada,adj
descending,descendent ,adj
description,descripció,f
deselect, to,desseleccionar,v tr
desktop,escriptori,m
desktop computer,ordinador de taula,m
destination,destí, destinació (f),m
detach, to,separar,v tr
developer,desenvolupador -a,m i f
device,dispositiu, perifèric,m
dial-in,marcatge d'entrada,m
dial, to,marcar,v tr
dialer,marcador,m
dialing,marcatge,m
dialing pad,teclat de marcatge,m 
dialog,diàleg,m
dialog box,quadre de diàleg,m
dialup, dial-up,marcatge directe,m
diff,comparació de fitxers (terme provisional),f
different,diferent, altre -a,adj
digital,digital,adj
digital camera,càmera fotogràfica digital,f
digital signature,signatura digital,f
digital video camera,càmera de vídeo digital, videocàmera digital,f
digitizing,digitalització,f
dim, to,atenuar,v tr
direct access,accés directe,m
directory,directori, carpeta (f),m
disable, to,inhabilitar, desactivar,v tr
disabled,inhabilitat -ada, desactivat -ada,adj
disc,disc,m
discard, to,descartar,v tr
disclaimer,descàrrec,m
disconnect, to,desconnectar, desconnectar-se (v pron),v tr
disconnection,desconnexió,f
discussion,debat,m
discussion forum,fòrum, grup de discussió,m
discussion group,grup de discussió,m
discussion list,llista de distribució,f
discussion thread,fil de discussió,m
disk,disc,m
disk cache,memòria cau de disc,f
disk drive,unitat de disc,f
disk space,espai de disc,m
diskette,disquet,m
display,pantalla || visualització,f
display, to,mostrar, visualitzar ,v tr
displayer,visualitzador,m
distributed application,aplicació distribuïda,f
distributed database,base de dades distribuïda,f
distribution,distribució,f
distribution list,llista de distribució,f
dither,trama,f
dithering,tramat,m
dock,acoblador,m
dock, to,acoblar,v tr
docking,acoblament,m
domain,domini,m
domain name resolution,resolució de noms de domini,f
domestic,local, intern -a,adj
domotics,domòtica,f
done,fet -a,adj
dongle,motxilla,f
dot,punt,m
dot com,puntcom,adj
dot pitch,densitat de punts,f
dotcom, dot-com,puntcom,adj
double click,doble clic,m
double click, to,fer doble clic,v intr
double size,mida doble,f
double-click,doble clic,m
double-click, to,fer doble clic,v intr
download,baixada,f
download manager,gestor de baixades,m
download, to,baixar(-se),v tr
downloading,baixada,f
downloading manager,gestor de baixades,m
draft,esborrany,m
drag and drop,arrossegar i deixar anar,loc
drag, to,arrossegar,v tr
drawable,dibuixable,adj
drawable,dibuixable,m
drive,unitat,f
driver,controlador, programa de control,m
drop-out,pèrdua d'informació ,f
drop, to,deixar anar || perdre || caure (v intr),v tr
dumb terminal,terminal passiu,m
dynamic IP addressing,assignació dinàmica d'adreces IP,f
dynamic range,marge dinàmic,m 
e-banking,banca electrònica,f
e-book,llibre electrònic,m
e-commerce,comerç electrònic,m
e-mail,adreça electrònica, correu electrònic (m),f
e-mail account,compte de correu,m
e-mail address,adreça electrònica,f
e-mail program,programa de correu electrònic,m
edge,vora, aresta ,f
edit box,quadre d'edició,m
edit control,control d'edició ,m
edit, to,editar, canviar, modificar,v tr
editor,editor,m
effect,efecte,m
eject, to,expulsar,v tr
ejection,expulsió,f
elapsed,transcorregut -uda,adj
electronic,electrònic -a,adj
electronic banking,banca electrònica,f
electronic catalog,catàleg electrònic,m
electronic certificate,certificat electrònic,m
electronic commerce,comerç electrònic,m
electronic contract,contracte electrònic,m
electronic library,biblioteca electrònica,f
electronic mail,correu electrònic,m
electronic mail account,compte de correu,m
electronic mail address,adreça electrònica (abrev. a/e),f
electronic mailbox,bústia electrònica,f
electronic message,correu electrònic,m
electronic newspaper,diari electrònic,m
electronic purchase order,comanda electrònica,f
electronic shop,botiga electrònica,f
electronic shopping,compra electrònica,f
electrònic shopping cart,carretó electrònic,m
electronic stock exchange,borsa electrònica,f
electronic wallet,cartera electrònica,f
email, to,enviar correu(s) (electrònics),loc
embed, to,incrustar,v tr
embedded,incrustat -ada,adj
embedding,incrustació,f
emboss,relleu, efecte de relleu,m
emboss, to,gravar en relleu,v tr
emphasized,destacat -ada,adj
empty,buit, buida,adj
empty, to,buidar,v tr
emulation,emulació,f
enable, to,habilitar, activar,v tr
enabled,habilitat -ada, activat -ada,adj
encapsulation,encapsulament,m
encipher, to,xifrar, encriptar,v tr
enciphered,xifrat -ada, encriptat -ada,adj
encipherment,xifratge, encriptatge,m
encipherment algorithm,algorisme de xifratge, d'encriptatge,m
encode, to,codificar,v tr
encoder,codificador,m
encoding,codificació,f
encounter, to,trobar,v tr
encrypt, to,encriptar,v tr
encrypted,encriptat -ada,adj
encryption,encriptatge,m
encryption algorithm,algorisme de d'encriptatge,m
End, end key,tecla de final,f
endnote,nota al final,f 
enlarge, to,ampliar,v tr
enqueue, to,enviar a la cua,v tr
Enter, enter key,tecla de retorn,f
enter, to,introduir,v tr
entry,entrada || registre (m),f
environment,entorn,m
environment variable,variable d'entorn,f
equalizer,equalitzador,m
erase head,capçal d'esborrament,m
erase, to,esborrar, suprimir,v tr
error,error,m
Esc, escape key,tecla d'escapada,f
escape, to,interrompre || escapar, sortir (v intr),v tr
escaped character,caràcter alterat,m
evaluation copy ,còpia d'avaluació,f
event,esdeveniment || incidència (f),m
exception,excepció,f
executable,executable,adj
execute, to,executar,v tr
execution time,temps d'execució,m
exit, to,sortir,v intr
expand, to,ampliar,v tr
expansion slot,ranura d'expansió,f
expected,esperat -ada,adj
expiration,venciment,m
expire, to,vèncer,v intr
export, to,exportar,v tr
expression,expressió,f
extended partition,partició ampliada,f
extension,extensió,f
extract, to,extreure,v tr
extraction,extracció,f
extranet,extranet,f
face value,valor nominal,m
factory,fàbrica,f
fadeout, to,esvair,v tr
fail, to,fallar,v intr
fallback,alternatiu -iva,adj
fallback,sistema alternatiu ,m
falloff,descens,m
FAQ (Frequently Asked Questions),PMF (preguntes més freqüents),f pl
fastforward,avanç ràpid,m
favorite, favourite,adreça d'interès, preferit (m),f
feature,funció, característica,f
feed,canal (d'informació),m
feedback,comentaris, opinions (f pl), retroacció (f),m pl
fetch, to,recollir,v tr
field,camp,m
file,fitxer,m
file handle,identificador de(l) fitxer,m
file transfer,transferència de fitxers,f
file, to,arxivar,v tr
filename,nom de(l) fitxer,m
filespec,especificació de(l) fitxer,f
filesystem,sistema de fitxers,m
filing,arxivament,m
filmstrip ,filmina,f
filter,filtre,m
filtering,filtratge,m
fill, to,omplir,v tr
find,cerca,f
find, to,cercar, trobar,v tr
finding,descobriment,m
fine-tune, to,ajustar,v tr
finger,cercausuaris,m
finish, to,finalitzar,v tr
firewall,tallafoc,m
firmware,microprogramari,m
fit, to,ajustar(-se), adaptar(-se),v tr
fix, to,solucionar, arreglar,v tr
fixed,fix -a, fixat -ada,adj
flag,indicador, senyalador,m
flag, to,senyalar,v tr
flagged,senyalat -ada,adj
flash memory,memòria flaix,f
flip, to,invertir,v tr
floating,flotant,adj
floating point,coma flotant,f
flood,inundació,f
flood, to,inundar,v tr
floppy, floppy disk,disquet,m
flow,flux,m
flowchart,diagrama de flux,m
flush, to,buidar,v tr
folder,carpeta, directori (m),f
followup,seguiment,m
font,(tipus de) lletra,m
footer,peu de pàgina,m
footnote,nota al peu,f
force, to,imposar,v tr
foreground,primer pla,m
fork, to,bifurcar-se,v pron
forked process,procés bifurcat,m
form,formulari,m
form factor,format,m
format,format,m
format, to,formatar,v tr
formatted,formatat -ada,adj
formatting,formatació,f
fortune,dita,f
forum,fòrum,m
forward,endavant,adv
forward, to,reenviar || avançar,v tr
forwarded,reenviat -ada,adj
forwarding,reenviament,m
found,trobat - ada,adj
fragmentation,fragmentació,f
frame,marc || fotograma || segment sonor,m
frame relay,relé de trama,m
framerate,imatges per segon,f pl
free software,programari lliure,m
freeware,programari gratuït,m
frequency,freqüència,f
frequently asked questions,preguntes més freqüents,f pl
fresh, to,actualitzar, refrescar,v tr
freshen, to,actualitzar, refrescar,v tr
friendly,amigable,adj
front end, frontend,frontal,m
full,ple, plena,adj
full screen,pantalla completa,f
full size,mida màxima,f
function key,tecla de funció,f
fuzzy,borrós -a, dubtós -a, difús -a,adj
gateway,passarel·la,f
generate, to,generar,v tr
geometry,geometria,f
get, to,aconseguir, obtenir, recuperar, rebre...,v tr
gigabit,gigabit (sbl. Gb),m
gigabyte,gigabyte (sbl. GB),m
gradient,degradat,m
graphics card,targeta gràfica,f
grid,graella,f
group,grup,m
groupware,programari de grup,m
guess,suposició,f
guest,visitant,m i f
guide,guia,f
hacker,hacker,m i f
handle,nansa, ansa,f
handle, to,gestionar,v tr
handler,gestor -a,m
handout,prospecte,m
handshaking,conformitat de connexió,f
hangup, to, hang-up, to,penjar, penjar-se (v pron),v tr
hard disk,disc dur,m
hardware,maquinari, màquines (f pl),m
hardware key,motxilla,f
hardware keyboard,teclat físic,m 
hash table,taula de dispersió,f
hash(ing) function,funció resum,f
hatching,ombreig,m
hazardous,arriscat -ada,adj
head,capçal,m
header,capçalera,f
heading,encapçalament,m
headset,auricular,m
height,alçada,f
help,ajuda,f
help topics,temes de l'ajuda,m pl
helper, helper application,aplicació d'ajuda,f
hertz,hertz (sbl. MHz),m
hidden,ocult -a,adj
hide, to,ocultar,v tr
hierarchy,jerarquia,f
high,alt -a,adj
high level language,llenguatge d'alt nivell,m
highlight, to,realçar,v tr
highlighted,realçat -ada,adj
history,historial,m
hit, to,prémer,v tr
hoax, hoaxing, hoaxing virus,falsa alarma,f
hold down, to,mantenir premuda (una tecla),v tr
hold, to,mantenir, retenir,v tr
holder,titular, posseïdor-a,m i f
home,inici, pàgina inicial (f),m
home banking,banca electrònica,f
home directory,directori de l'usuari,m
home page,pàgina inicial,f
Home, home key,tecla d'inici,f
honeypot,esquer,m
horizontal,horitzontal,adj
host, host computer,amfitrió, ordinador central,m
hosted ,hostatjat ,adj
hosting,hostatge,m
hot key, hotkey,drecera, tecla de drecera,f
hotlist,llista d'adreces d'interès,f
house, to,allotjar,v tr
housing ,allotjament,m
hover, to,mantenir,v tr
hub,concentrador,m
hue,to,m
hyperlink,enllaç,m
hypertext,hipertext,m
hyphenate, to,partir mots,loc
hyphenation,partició de mots,f
icon,icona,f
iconify, to,iconitzar,v tr
ID,identificador,m
identifier,identificador,m
idle,inactiu -iva,adj
ignore, to,ignorar,v tr
image,imatge,f
image ad,anunci gràfic,m
image bank,banc d'imatges,m
image map,mapa d'imatge,m
implement, to,implementar,v tr
implementation,implementació,f
import, to,importar,v tr
improper,inadequat -ada,adj
improvement,millora,f
in progress,en curs,loc
inbox,safata d'entrada,f
include, to,incloure ,v tr
incoming,d'entrada,loc
incoming message,missatge d'entrada,m
increase, to,augmentar,v tr
inch,polzada,f
indent, to,sagnar,v tr
indent, to,sagnar,v tr
index,índex,m
index, to,indexar,v tr
info, information,informació, dades (f pl),f
information culture,cultura de la informació,f
information highway,infopista, autopista de la informació,f
information society,societat de la informació,f
information superhighway,infopista, autopista de la informació,f
infrared,infraroig -oja,adj
initialization,inicialització,f
initialize, to,inicialitzar,v tr
inline,en línia,loc
inline, to,inserir,v tr
inlined,inserit -ida,adj
inode,node d'identificació,m
input,entrada,f
input device,perifèric d'entrada,m
input medium,suport d'entrada,m
inquiry,consulta,f
Ins, insert key,tecla d'inserció,f
insecure,no segur -a,adj
insert, to,inserir,v tr
insertion location,posició d'inserció,f
insertion point,punt d'inserció,m
inset,inserció,f
inset, to,inserir,v tr
install, to,instal·lar,v tr
installation,instal·lació,f
installer,instal·lador,m
instance,instància, aparició,f
instant messaging,missatgeria instantània,f
instantiate, to,instanciar,v tr
instead,en comptes de, en lloc de,loc
instruction,instrucció,f
integer,(nombre) enter,m
integrate, to,integrar,v tr
integration,integració,f
interactive,interactiu -iva,adj
interconnect, to,interconnectar,v tr
interconnection,interconnexió,f
interest group,grup de discussió,m
interface,interfície,f
interlaced,entrellaçat -ada,adj
internal,intern -a,adj
internaut,internauta,m i f
Internet,Internet,f
Internet address,adreça d'Internet,f
Internet service provider,proveïdor d'Internet,m
interpreted language,llenguatge interpretat,m
interstitial ad(vertisement),anunci intersticial,m
intranet,intranet,f
Intro, intro key,tecla de retorn,f
invalid,no vàlid -a,adj
invert, to,invertir,v tr
invisible pixel,píxel invisible,m
IP address,adreça IP,f
issue,tema, assumpte, problema,m
issue, to,emetre, publicar,v tr
issuer,emissor -a,m i f
italic,cursiva,f
item,element, ítem,m
Java applet,miniaplicació de Java,f
job,tasca, feina,f
join, to,unir, unir-se (v pron),v tr
jump, to,saltar,v tr
jumper,pont,m
junk mail,correu brossa,m
justification,justificació,f
justify, to,justificar,v tr
keep, to,conservar, mantenir,v tr
kernel,nucli,m
kerning,interlletratge,m
key,tecla || clau,f
key binding,assignació de tecles,f
keyboard,teclat,m
keyboard layout,disposició del teclat,f
keyboard shortcut,tecla de drecera,f
keypair,parella de claus,f
keyphrase,frase clau,f
keyring,anell de claus,m
keystroke,pulsació de tecla,f
keyword,paraula clau,f
kick, to,expulsar,v tr
kilobit,kilobit (sbl. kb),m
kilobyte,kilobyte (sbl. kB),m
kilohertz,kilohertz (sbl. KHz),m
kill, to,matar,v tr
knowledge base,base de coneixements,f
knowledge society,societat de la informació,f
label,etiqueta,f
language,llengua (f) || llenguatge,m
language pack, langpack,paquet de llengua,m
laptop (computer),ordinador portàtil,m
last,darrer -a, últim -a,adj
last accessed,darrer accés,m
last modified,darrera modificació,f
last name,cognom,m
last updated,darrera actualització,f
later,més tard, més endavant, després,adv
launch, to,executar,v tr
layer,capa,f
layout,format,m
leak,pèrdua,f
leave, to,deixar,v tr
legacy,antic,adj
length,longitud || durada,f
let, to,permetre,v tr
level,nivell,m
lexicon,diccionari, lèxic,m
library,biblioteca,f
light,clar -a,adj
lightness,lluminositat,f
line,línia,f
line adapter,adaptador de línia,m
linear,lineal,adj
link,enllaç,m
link, to,enllaçar,v tr
linked,enllaçat -ada,adj
liquid crystal,cristall líquid,m
list,llista,f
list box,quadre de llista,m
list view,visualització en llista,f
list, to,relacionar, indicar, llistar,v tr
listen port,port que rep connexions,m
listen, to,escoltar,v tr
listener,receptor de connexions, de serveis,m
listfile,fitxer de llista,m
listing,llistat,m
load,càrrega,f
load, to,carregar,v tr
loading,càrrega,f
local,local,adj
locale ,configuració local,f
localization,localització,f
localize, to,localitzar,v tr
located,ubicat -ada,adj
location,ubicació, lloc (m),f
lock,bloqueig, blocatge,m
lock, to,bloquejar, blocar,v tr
locking,bloqueig, blocatge,m
log,registre,m
log file,fitxer de registre,m
log in, to,iniciar la/una sessió, entrar, connectar(-se),v intr
log off, to,finalitzar la/una sessió, sortir, desconnectar(-se),v intr
log on, to,iniciar la/una sessió, entrar, connectar(-se),v intr
log out, to,finalitzar la/una sessió, sortir, desconnectar(-se),v intr
log, to,registrar,v tr
logical partition,partició lògica,f
login,dades d'inici de sessió || inici de sessió (m), entrada (f), connexió (f),f pl
